bed_count,zip_cod,ccn,medicare_medicaid_eligible
149,46032,150161,True
385,46237,150162,True
63,46321,150165,True
44,46804,150168,True
191,47905,150173,True
86,46256,150179,True
46,46037,150181,True
8,46350,150191,True
23,46032,150193,True
25,47394,151301,True
15,47348,151302,True
19,47265,151303,True
25,46996,151305,True
25,47454,151306,True
16,47993,151307,True
25,46036,151308,True
25,47834,151309,True
25,46072,151311,True
25,47960,151312,True
25,46975,151313,True
25,47167,151314,True
25,46041,151316,True
25,46970,151318,True
35,47371,151320,True
25,47586,151322,True
46,47978,151324,True
35,47601,151325,True
25,47882,151327,True
25,47421,151328,True
25,47006,151329,True
25,47112,151331,True
25,47240,151332,True
25,47170,151334,True
25,47421,151335,True
59,46222,152007,True
60,47713,152014,True
74,46260,152020,True
61,46312,152024,True
32,47303,152025,True
40,46307,152028,True
103,47630,153025,True
36,46804,153030,True
60,47150,153037,True
40,47905,153042,True
40,46545,153047,True
40,47404,153049,True
37,46506,154058,True
30,46545,154061,True
50,46254,154063,True
70,46307,154065,True
0,46260,159802,True
0,46206,159803,True
49,50158,160001,True
142,51401,160005,True
80,52761,160013,True
174,50501,160016,True
194,51503,160028,True
68,50208,160032,True
532,52402,160045,True
236,51503,160047,True
1103,52242,160058,True
674,50309,160082,True
649,50314,160083,True
235,52501,160089,True
200,50314,160101,True
150,52722,160104,True
234,50703,160110,True
93,51301,160112,True
158,52001,160117,True
201,51104,160146,True
49,50112,160147,True
25,50421,161301,True
25,50525,161302,True
25,50638,161303,True
22,50841,161304,True
25,52205,161306,True
25,51555,161309,True
25,50849,161310,True
25,51023,161311,True
25,52052,161312,True
25,50115,161314,True
25,52175,161316,True
25,52172,161318,True
25,50674,161320,True
25,50220,161322,True
25,50461,161323,True
25,51640,161324,True
25,50129,161325,True
25,50273,161326,True
25,52136,161328,True
25,50025,161330,True
17,51455,161332,True
25,50201,161333,True
25,50644,161335,True
25,50049,161341,True
83,52349,161349,True
25,51449,161350,True
25,51445,161354,True
25,50138,161355,True
74,52641,161356,True
25,50060,161358,True
25,51040,161359,True
25,51041,161360,True
